# runs.log — Registre des jobs : 2026-biosphere
# Format : ISO-date | job_id | statut | git_hash | script | notes
2026-03-05T11:44:07+01:00 | cutadapt_2-107_107_L001_4253280 | START | 6745b41 | slurm_script | sample=2-107_107_L001
2026-03-05T11:44:07+01:00 | cutadapt_1-51_51_L001_4253223 | START | 6745b41 | slurm_script | sample=1-51_51_L001
001
2026-03-05T11:44:07+01:00 | cutadapt_2-129_129_L001_4253299 | START | 6745b41 | slurm_script | sample=2-129_129_L001
2026-03-05T11:44:07+01:00 | cutadapt_2-133_133_L001_4253303 | START | 6745b41 | slurm_script | sample=2-133_133_L001
2026-03-05T11:44:07+01:00 | cutadapt_2-117_117_L001_4253289 | START | 6745b41 | slurm_script | sample=2-117_117_L001
2026-03-05T11:44:07+01:00 | cutadapt_1-75_75_L001_4253249 | START | 6745b41 | slurm_script | sample=1-75_75_L001
2026-03-05T11:44:07+01:00 | cutadapt_1-65_65_L001_4253238 | START | 6745b41 | slurm_script | sample=1-65_65_L001
2026-03-05T11:44:07+01:00 | cutadapt_1-48_48_L001_4253220 | START | 6745b41 | slurm_script | sample=1-48_48_L001
2026-03-05T11:44:07+01:00 | cutadapt_2-106_106_L001_4253279 | START | 6745b41 | slurm_script | sample=2-106_106_L001
2026-03-05T11:44:07+01:00 | cutadapt_2-102_102_L001_4253275 | START | 6745b41 | slurm_script | sample=2-102_102_L001
2026-03-05T11:44:07+01:00 | cutadapt_1-53_53_L001_4253225 | START | 6745b41 | slurm_script | sample=1-53_53_L001
2026-03-05T11:44:07+01:00 | cutadapt_1-45_45_L001_4253217 | START | 6745b41 | slurm_script | sample=1-45_45_L001
2026-03-05T11:44:07+01:00 | cutadapt_1-68_68_L001_4253242 | START | 6745b41 | slurm_script | sample=1-68_68_L001
2026-03-05T11:44:07+01:00 | cutadapt_1-67_67_L001_4253241 | START | 6745b41 | slurm_script | sample=1-67_67_L001
2026-03-05T11:44:07+01:00 | cutadapt_1-60_60_L001_4253233 | START | 6745b41 | slurm_script | sample=1-60_60_L001
2026-03-05T11:44:07+01:00 | cutadapt_1-42_42_L001_4253213 | START | 6745b41 | slurm_script | sample=1-42_42_L001
2026-03-05T11:44:07+01:00 | cutadapt_1-73_73_L001_4253247 | START | 6745b41 | slurm_script | sample=1-73_73_L001
2026-03-05T11:44:07+01:00 | cutadapt_1-89_89_L001_4253265 | START | 6745b41 | slurm_script | sample=1-89_89_L001
2026-03-05T11:44:07+01:00 | cutadapt_1-43_43_L001_4253214 | START | 6745b41 | slurm_script | sample=1-43_43_L001
2026-03-05T11:44:07+01:00 | cutadapt_1-58_58_L001_4253231 | START | 6745b41 | slurm_script | sample=1-58_58_L001
2026-03-05T11:44:07+01:00 | cutadapt_2-104_104_L001_4253277 | START | 6745b41 | slurm_script | sample=2-104_104_L001
2026-03-05T11:44:07+01:00 | cutadapt_2-114_114_L001_4253287 | START | 6745b41 | slurm_script | sample=2-114_114_L001
2026-03-05T11:44:07+01:00 | cutadapt_1-85_85_L001_4253260 | START | 6745b41 | slurm_script | sample=1-85_85_L001
2026-03-05T11:44:07+01:00 | cutadapt_1-70_70_L001_4253244 | START | 6745b41 | slurm_script | sample=1-70_70_L001
2026-03-05T11:44:07+01:00 | cutadapt_2-115_115_L001_4253288 | START | 6745b41 | slurm_script | sample=2-115_115_L001
2026-03-05T11:44:07+01:00 | cutadapt_1-TEXT1_TEXT1_L001_4253272 | START | 6745b41 | slurm_script | sample=1-TEXT1_TEXT1_L001
2026-03-05T11:44:07+01:00 | cutadapt_1-79_79_L001_4253254 | START | 6745b41 | slurm_script | sample=1-79_79_L001
2026-03-05T11:44:07+01:00 | cutadapt_1-77_77_L001_4253251 | START | 6745b41 | slurm_script | sample=1-77_77_L001
2026-03-05T11:44:07+01:00 | cutadapt_1-7_7_L001_4253252 | START | 6745b41 | slurm_script | sample=1-7_7_L001
2026-03-05T11:44:07+01:00 | cutadapt_2-112_112_L001_4253285 | START | 6745b41 | slurm_script | sample=2-112_112_L001
2026-03-05T11:44:07+01:00 | cutadapt_1-92_92_L001_4253268 | START | 6745b41 | slurm_script | sample=1-92_92_L001
2026-03-05T11:44:07+01:00 | cutadapt_2-110_110_L001_4253283 | START | 6745b41 | slurm_script | sample=2-110_110_L001
